candidate_id,Name,Skills,Experience,Education,Recommendation,Score,Matched Skills,Missing Skills,Behavior Score,Location,Reasoning
CAND_0088025,Candidate 0088025,"Pinecone, QLoRA, LLMs, Hugging Face Transformers, RAG, SAP, TensorFlow, LoRA, Flask, Prompt Engineering, BM25, Elasticsearch, MLOps, pgvector, Learning to Rank, Deep Learning, Python, NLP, YOLO",8.6 Years,Ph.D in Data Science at COEP Pune,Consider,70.7%,"Python, Machine Learning, NLP, TensorFlow, RAG","Docker, SQL, NoSQL, REST API, Git",82.7%,"Jaipur, Rajasthan, India","Matched [Python, Machine Learning, NLP] | Missing [Docker, SQL, NoSQL] | 8.6 years experience | Platform engagement: High (GitHub: 75%) | Location: Willing to Relocate | Final Score: 70.7%"
CAND_0096142,Candidate 0096142,"Kubeflow, LoRA, Weaviate, Pinecone, Python, CSS, BentoML, Weights & Biases, RAG, CNN, NLP, BM25, OpenCV, Hugging Face Transformers, dbt",5.0 Years,M.Tech in Machine Learning at IIIT Bangalore,Consider,68.2%,"Python, NLP, RAG","Machine Learning, TensorFlow, Docker, SQL, NoSQL, REST API, Git",80.5%,"Hyderabad, Telangana, India","Matched [Python, NLP, RAG] | Missing [Machine Learning, TensorFlow, Docker] | 5.0 years experience | Platform engagement: High (GitHub: 80%) | Location: Willing to Relocate | Final Score: 68.2%"
CAND_0074735,Candidate 0074735,"YOLO, RAG, Prompt Engineering, LlamaIndex, Machine Learning, Weaviate, GANs, ASR, Information Retrieval, BentoML, Object Detection, Semantic Search, Vector Search, Project Management, TensorFlow, Learning to Rank, Hadoop, TypeScript, Elasticsearch, Kubeflow",5.5 Years,M.E. in Artificial Intelligence at Carnegie Mellon University; M.Tech in Information Technology at Bharati Vidyapeeth,Consider,68.1%,"Machine Learning, TensorFlow, RAG","Python, NLP, Docker, SQL, NoSQL, REST API, Git",81.8%,"Chandigarh, Chandigarh, India","Matched [Machine Learning, TensorFlow, RAG] | Missing [Python, NLP, Docker] | 5.5 years experience | Platform engagement: High (GitHub: 88%) | Location: Willing to Relocate | Final Score: 68.1%"
CAND_0010257,Candidate 0010257,"Milvus, TensorFlow, MLflow, Python, Forecasting, OpenSearch, Qdrant, JavaScript, ASR, Machine Learning, Feature Engineering, Image Classification, Recommendation Systems, pgvector, Rust",6.5 Years,Ph.D in Computer Science at COEP Pune,Consider,67.8%,"Python, Machine Learning, TensorFlow","NLP, Docker, SQL, NoSQL, RAG, REST API, Git",77.0%,"Noida, Uttar Pradesh, India","Matched [Python, Machine Learning, TensorFlow] | Missing [NLP, Docker, SQL] | 6.5 years experience | Platform engagement: High (GitHub: 46%) | Location: Willing to Relocate | Final Score: 67.8%"
CAND_0002025,Candidate 0002025,"Diffusion Models, FAISS, TensorFlow, scikit-learn, OpenSearch, Haystack, Weaviate, Sentence Transformers, QLoRA, NLP, Pinecone, Recommendation Systems, Deep Learning, Python, LangChain, Weights & Biases, OpenCV, Prompt Engineering, Fine-tuning LLMs, YOLO",5.9 Years,M.Sc in Data Science at IIIT Bangalore; M.S. in Data Science at IIIT Bangalore,Consider,67.4%,"Python, Machine Learning, NLP, TensorFlow","Docker, SQL, NoSQL, RAG, REST API, Git",74.2%,"Trivandrum, Kerala, India","Matched [Python, Machine Learning, NLP] | Missing [Docker, SQL, NoSQL] | 5.9 years experience | Platform engagement: Medium (GitHub: 97%) | Location: Willing to Relocate | Final Score: 67.4%"
CAND_0020708,Candidate 0020708,"Tally, NLP, Data Science, Statistical Modeling, scikit-learn, Kubeflow, Learning to Rank, Python, Elasticsearch, OpenCV, LangChain, LLMs, YOLO, Fine-tuning LLMs, Prompt Engineering, Weights & Biases, Sentence Transformers, Milvus, TensorFlow",4.2 Years,M.Sc in Machine Learning at Jadavpur University; B.E. in Data Science at Symbiosis International,Consider,67.4%,"Python, NLP, TensorFlow","Machine Learning, Docker, SQL, NoSQL, RAG, REST API, Git",80.5%,"Indore, Madhya Pradesh, India","Matched [Python, NLP, TensorFlow] | Missing [Machine Learning, Docker, SQL] | 4.2 years experience | Platform engagement: High (GitHub: 84%) | Location: Willing to Relocate | Final Score: 67.4%"
CAND_0037944,Candidate 0037944,"Next.js, Feature Engineering, Vector Search, Machine Learning, ASR, QLoRA, OpenSearch, Embeddings, CNN, Python, NLP, LLMs, LlamaIndex, Terraform, Sentence Transformers, Apache Flink, BM25, PEFT",4.9 Years,M.E. in Artificial Intelligence at IISc Bangalore,Consider,67.1%,"Python, Machine Learning, NLP","TensorFlow, Docker, SQL, NoSQL, RAG, REST API, Git",72.5%,"Jaipur, Rajasthan, India","Matched [Python, Machine Learning, NLP] | Missing [TensorFlow, Docker, SQL] | 4.9 years experience | Platform engagement: Medium (GitHub: 83%) | Location: Willing to Relocate | Final Score: 67.1%"
CAND_0012957,Candidate 0012957,"RAG, PEFT, LangChain, ASR, Deep Learning, BentoML, BM25, Machine Learning, Redis, Statistical Modeling, Qdrant, OpenCV, Python, Embeddings, Fine-tuning LLMs",4.9 Years,Ph.D in Data Science at Delhi College of Engineering,Consider,66.9%,"Python, Machine Learning, RAG","NLP, TensorFlow, Docker, SQL, NoSQL, REST API, Git",68.1%,"Chennai, Tamil Nadu, India","Matched [Python, Machine Learning, RAG] | Missing [NLP, TensorFlow, Docker] | 4.9 years experience | Platform engagement: Medium (GitHub: 54%) | Location: Willing to Relocate | Final Score: 66.9%"
CAND_0046525,Candidate 0046525,"Elasticsearch, Redux, LangChain, Machine Learning, LlamaIndex, Information Retrieval, TensorFlow, LLMs, NLP, Sentence Transformers, YOLO, Forecasting, pgvector, Image Classification, Weights & Biases, TTS, Qdrant",6.1 Years,M.S. in Computer Engineering at Manipal Institute of Technology; M.Sc in Information Technology at IIT Hyderabad,Consider,66.6%,"Machine Learning, NLP, TensorFlow","Python, Docker, SQL, NoSQL, RAG, REST API, Git",76.4%,"Pune, Maharashtra, India","Matched [Machine Learning, NLP, TensorFlow] | Missing [Python, Docker, SQL] | 6.1 years experience | Platform engagement: High (GitHub: 37%) | Location: Willing to Relocate | Final Score: 66.6%"
CAND_0030031,Candidate 0030031,"Information Retrieval, PyTorch, Object Detection, Python, NLP, RAG, OpenCV, LoRA, QLoRA, BM25, Time Series, Sentence Transformers, YOLO, Milvus, Vector Search, scikit-learn",5.7 Years,B.Sc in Data Science at IIT Bombay,Consider,66.5%,"Python, NLP, RAG","Machine Learning, TensorFlow, Docker, SQL, NoSQL, REST API, Git",68.4%,"Trivandrum, Kerala, India","Matched [Python, NLP, RAG] | Missing [Machine Learning, TensorFlow, Docker] | 5.7 years experience | Platform engagement: Medium (GitHub: 32%) | Location: Willing to Relocate | Final Score: 66.5%"
CAND_0047721,Candidate 0047721,"Learning to Rank, MLOps, Milvus, BM25, RAG, Diffusion Models, Image Classification, Redux, Information Retrieval, Photoshop, FAISS, Qdrant, Machine Learning, OpenCV, Forecasting, NLP, Salesforce CRM",7.0 Years,B.Sc in Machine Learning at IIT Kharagpur,Consider,66.3%,"Machine Learning, NLP, RAG","Python, TensorFlow, Docker, SQL, NoSQL, REST API, Git",67.4%,"Coimbatore, Tamil Nadu, India","Matched [Machine Learning, NLP, RAG] | Missing [Python, TensorFlow, Docker] | 7.0 years experience | Platform engagement: Medium (GitHub: 90%) | Location: Willing to Relocate | Final Score: 66.3%"
